density,pH,alcohol,quality,wineType,satisfied,price
0.9967,3.39,9.8,5,R,Yes,11.95
0.9972,3.3,9,6,R,No,14.46
0.9972,3.4,10.2,6,R,No,15.9
0.9959,3.31,10.4,6,R,No,16.95
0.9972,3.3,9,6,R,No,14.46
0.9967,3.29,9.2,5,R,Yes,11.88
0.996,3.33,9.4,5,R,Yes,11.91
0.9967,3.29,9.2,5,R,Yes,11.88
0.9973,3.08,9.3,5,R,Yes,13.4
0.9969,3.46,9.3,5,R,Yes,11.74
0.9976,3.37,9.6,6,R,No,14.59
0.9969,3.21,9.3,5,R,Yes,12.49
0.9964,3.19,9.5,5,R,Yes,13.09
0.9964,3.15,9.8,5,R,Yes,13.36
0.9964,3.15,9.8,5,R,Yes,13.36
0.9988,3.32,9.7,6,R,No,15.23
0.9964,3.19,9.5,5,R,Yes,13.09
0.9966,3.07,10.5,6,R,No,18.32
0.9978,3.39,10,6,R,No,15.8
0.997,3.37,9.4,6,R,No,14.74
0.9962,3.21,10.9,6,R,No,18.17
0.9959,3.34,9.2,6,R,No,14.73
0.9962,3.3,9,5,R,Yes,11.94
0.9962,3.21,10.9,6,R,No,18.17
0.998,3.49,9.2,5,R,Yes,10.68
0.9976,3.44,9.5,5,R,Yes,11.21
0.996,3.39,9.5,5,R,Yes,12.41
0.9984,3.16,9.4,5,R,Yes,12.97
0.9964,3.53,10.9,5,R,Yes,13.74
0.9964,3.54,10.9,5,R,Yes,13.6
0.9962,3.42,10.5,7,R,No,19.69
0.9955,3.42,9.4,5,R,Yes,11.94
0.9968,3.24,9.4,5,R,Yes,12.51
0.9937,3.63,13,5,R,Yes,15.61
0.9937,3.63,13,5,R,Yes,15.61
0.9952,3.4,9.8,6,R,No,15.79
0.9959,3.22,9.9,6,R,No,16.25
0.9965,3.19,9.6,5,R,Yes,13.15
0.9968,3.23,9.5,5,R,Yes,12.91
0.9972,3.48,9.2,5,R,Yes,11.22
0.9962,3.33,9.5,5,R,Yes,12.16
0.9962,3.32,9.5,5,R,Yes,12.31
0.9965,3.19,9.6,5,R,Yes,13.15
0.9968,3.23,9.5,5,R,Yes,12.91
0.9916,3.68,14,6,R,No,21.03
0.9954,3.34,9.4,5,R,Yes,12.37
0.9916,3.68,14,6,R,No,21.03
0.9968,3.17,9.4,5,R,Yes,13.03
0.9944,3.54,10,5,R,Yes,12.32
0.9968,3.11,9.3,5,R,Yes,13.35
0.9959,3.42,10.2,6,R,No,15.59
0.9975,3.53,10.5,6,R,No,15.05
0.9958,3.33,10.3,6,R,No,16.46
0.9996,2.74,9.4,4,R,Yes,10.32
0.995,3.35,10.1,5,R,Yes,13.27
0.995,3.35,10.1,5,R,Yes,13.27
0.9973,3.42,10.5,5,R,Yes,9.85
0.9973,3.42,10.5,5,R,Yes,9.85
0.9973,3.42,10.5,5,R,Yes,9.85
0.9973,3.42,10.5,5,R,Yes,9.85
0.9969,3.48,9.3,5,R,Yes,11.16
0.9968,3.59,9.3,6,R,No,13.64
0.9959,3.2,9.6,5,R,Yes,13
0.9965,3.17,9.2,4,R,Yes,10.31
0.9964,3.33,10,6,R,No,16.32
0.9982,3.37,9.4,5,R,Yes,6.65
0.9981,3.37,9.4,5,R,Yes,6.75
0.9961,3.19,9.5,5,R,Yes,13.19
0.9956,3.34,10.2,5,R,Yes,13.17
0.9956,3.37,9,4,R,Yes,9.08
0.9953,3.47,10.4,6,R,No,15.88
0.9964,3,9.5,5,R,Yes,14.03
0.9972,3.36,9.1,4,R,Yes,9.03
0.9972,3.29,9.2,6,R,No,14.78
0.9972,3.29,9.2,6,R,No,14.78
0.9961,3.42,11.5,6,R,No,18.28
0.9961,3.33,9.5,5,R,Yes,12.26
0.9958,3.35,9.5,5,R,Yes,12.68
0.9961,3.33,9.5,5,R,Yes,12.26
0.9972,3.58,10.5,6,R,No,15.3
0.9969,3.48,9.6,5,R,Yes,11.29
0.9969,3.19,9.5,5,R,Yes,12.49
0.9969,3.19,9.5,5,R,Yes,12.49
0.9972,3.12,9.3,5,R,Yes,12.9
0.9972,3.44,9.3,5,R,Yes,11.02
0.9971,3.54,9.3,5,R,Yes,11.34
0.997,3.52,9.3,6,R,No,13.95
0.9971,3.26,9.7,5,R,Yes,12.88
0.9972,3.34,9.2,5,R,Yes,11.77
0.9976,3.39,9.7,5,R,Yes,11.71
0.9968,3.2,9.5,5,R,Yes,12.84
0.9968,3.2,9.5,5,R,Yes,12.94
0.9976,3.23,9.4,5,R,Yes,11.65
0.9974,3.57,9.8,6,R,No,14.57
0.9969,3.28,9.5,5,R,Yes,10.68
0.9964,3.28,9.7,5,R,Yes,12.59
0.9964,3.28,9.7,5,R,Yes,12.59
0.9968,3.25,9.4,5,R,Yes,12.46
0.9968,3.46,10.2,5,R,Yes,12.34
0.9981,3.11,10.1,6,R,No,17.49
0.9924,3.57,13,7,R,No,24.29
0.9948,3.51,11.4,4,R,Yes,10.89
0.99695,3.22,10.3,7,R,No,20.99
0.9975,3.04,9.3,5,R,Yes,13.2
0.99545,3.36,9.5,5,R,Yes,12.64
0.9961,3.34,9.2,5,R,Yes,12.17
0.99615,3.34,9.2,6,R,No,14.93
0.9994,3.2,10.8,7,R,No,21.03
0.9994,3.2,10.8,7,R,No,21.03
0.99625,3.29,9.3,5,R,Yes,12.33
0.9966,3.22,9.4,5,R,Yes,11.9
0.998,3.31,10.5,7,R,No,20.11
0.99585,3.3,12.4,6,R,No,20.55
0.99685,3.35,10,6,R,No,15.11
0.998,3.21,10.2,6,R,No,16.97
0.9959,3.3,10.1,5,R,Yes,13.1
0.9974,3.24,9.8,6,R,No,15.75
0.9974,3.34,10.5,5,R,Yes,10.12
0.9962,3.14,11,5,R,Yes,15.52
0.9967,3.36,9.1,5,R,Yes,11.34
0.9957,3.39,9.7,5,R,Yes,12.41
0.99655,3.3,9.5,5,R,Yes,11.99
0.9964,3.34,9.4,6,R,No,14.89
0.9957,3.15,9.4,5,R,Yes,12.92
0.99525,3.42,9.5,5,R,Yes,12.39
0.99815,3.28,10,6,R,No,16.29
0.99745,3.31,10.4,4,R,Yes,10.57
0.99615,3.37,10.5,6,R,No,16.09
0.9964,3.04,9.5,6,R,No,16.75
0.9984,3.39,9.8,5,R,Yes,11.85
0.99615,3.37,10.5,6,R,No,16.09
0.99685,3.46,11,5,R,Yes,13.3
0.9927,3.54,12.2,7,R,No,22.52
0.99625,3.37,9.9,6,R,No,15.83
0.998,3.34,9.6,6,R,No,14.45
0.99685,3.46,11,5,R,Yes,13.3
0.99685,3.32,9,6,R,No,13.97
0.99675,3.37,9,6,R,No,14.12
0.99675,3.37,9,6,R,No,14.12
0.99675,3.37,9.2,6,R,No,14.48
0.99675,3.37,9,6,R,No,14.12
0.99685,3.32,9,6,R,No,13.97
0.9971,3,9.3,5,R,Yes,13.8
0.99925,3.14,10.9,6,R,No,18.73
0.99565,3.08,9.8,6,R,No,17.29
1.00005,3.07,9.2,7,R,No,18.78
1.00005,3.07,9.2,7,R,No,18.78
0.9983,3.61,9.9,6,R,No,14.45
0.99685,3.38,9.5,5,R,Yes,12.15
0.9963,3.2,9.3,5,R,Yes,12.23
0.99615,3.35,9.8,6,R,No,15.85
0.9983,3.61,9.9,6,R,No,14.45
0.9985,3.22,10,6,R,No,17.03
0.9972,3.47,9.9,6,R,No,15.32
0.9986,3.17,10.5,5,R,Yes,13.46
0.9959,3.23,9.5,5,R,Yes,12.81
0.9972,3.47,9.9,6,R,No,15.32
0.99675,3.26,9.3,5,R,Yes,11.06
0.998,3.22,9.2,5,R,Yes,12.09
0.9968,3.49,9.2,5,R,Yes,11.08
0.9968,3.06,9.4,5,R,Yes,13.56
0.99965,3.36,10.5,7,R,No,19.28
0.99625,3.29,9.3,5,R,Yes,12.43
0.99565,3.35,9.4,4,R,Yes,9.22
0.99575,3.34,10,5,R,Yes,13.27
0.9963,3.28,9.3,5,R,Yes,12.38
0.9999,3.08,10.9,5,R,Yes,15.29
0.9968,3.2,10.2,7,R,No,20.51
1.00025,3.6,9.8,4,R,Yes,7.59
0.9973,3.35,12.8,8,R,No,26.97
0.9987,3.69,9.4,6,R,No,12.28
0.9996,3.28,10.1,6,R,No,14.48
0.9965,3.36,10.7,6,R,No,15.11
0.9996,3.28,10.1,6,R,No,14.48
0.99935,3.22,10.1,5,R,Yes,11.68
0.99735,3.31,9.4,5,R,Yes,11.8
0.99915,3.38,9.4,5,R,Yes,6.91
0.9965,3.36,10.7,6,R,No,15.11
0.9987,3.69,9.4,6,R,No,12.28
0.9996,3.28,10.1,6,R,No,14.48
0.9976,3.23,12.6,8,R,No,24.81
0.9991,3.38,10.5,7,R,No,16.15
0.9986,3.12,9.3,6,R,No,14.28
0.9972,3.25,9.9,7,R,No,17.82
0.9971,3.36,9.1,5,R,Yes,10.54
0.9991,3.38,10.5,7,R,No,16.15
1.00015,3.31,9.8,5,R,Yes,11.4
1.00015,3.31,9.8,5,R,Yes,11.4
0.9997,3.1,10.3,6,R,No,17.94
0.9967,3.37,10.3,6,R,No,15.34
0.9976,3.34,10.6,7,R,No,19.72
1.001,3.2,9.2,5,R,Yes,11.08
0.9976,3.34,10.6,7,R,No,19.72
0.9979,3.3,10.5,5,R,Yes,13.91
0.9994,3.22,10.3,6,R,No,16.49
0.9964,3.41,10.1,6,R,No,15.37
1.0014,3.05,9.5,6,R,No,15.49
1.0001,3.05,9.5,5,R,Yes,13.07
0.9981,3.16,9.9,5,R,Yes,13.06
0.99855,3.67,9.6,5,R,Yes,11.08
0.9993,3.67,9.7,5,R,Yes,10.92
0.99845,3.68,9.6,5,R,Yes,10.94
0.9965,3.38,10.7,6,R,No,16.39
0.9973,3.22,10.1,6,R,No,17.32
0.9994,3.51,10,5,R,Yes,11.65
0.996,3.39,9.5,5,R,Yes,12.41
0.9973,3.2,9.2,5,R,Yes,12.28
0.9998,3.12,9.3,6,R,No,15.38
0.9966,3.36,9.4,5,R,Yes,11.79
0.9994,3.19,9.5,6,R,No,15.47
0.9994,3.19,9.5,6,R,No,15.47
0.9968,3.41,9.5,6,R,No,15.02
0.9998,3.12,9.3,6,R,No,15.38
0.996,3.27,9.4,6,R,No,15.25
0.99815,3.32,9.5,6,R,No,14.37
0.9976,3.3,9.4,5,R,Yes,11.24
0.99645,3.39,11,5,R,Yes,13.62
0.9962,3.42,11,6,R,No,16.8
0.9996,3.3,10.1,5,R,Yes,11.9
0.99865,3.3,10.4,6,R,No,16.01
0.9989,3.37,11.5,7,R,No,20.69
0.99865,3.3,10.4,6,R,No,16.01
0.9989,3.37,11.5,7,R,No,20.69
0.99975,3.24,9.7,5,R,Yes,11.57
0.99735,3.29,9.3,5,R,Yes,11.83
0.999,3.28,9.5,6,R,No,14.58
1.0015,3.16,9.2,6,R,No,6.47
1.0015,3.16,9.2,6,R,No,6.47
0.9978,3.05,11.5,7,R,No,22.74
0.998,3.28,11.5,5,R,Yes,13.03
1.0002,3.16,9.7,6,R,No,15.82
0.9981,3.18,9.5,5,R,Yes,12.94
0.998,3.23,12.5,6,R,No,20.32
0.998,3.23,12.5,6,R,No,20.32
0.9973,3.22,9.4,6,R,No,14.32
0.9958,3.13,11,5,R,Yes,15.47
0.9963,3.34,11.7,7,R,No,22.02
0.9992,3.17,12.2,7,R,No,23.54
0.9948,3.35,12.5,6,R,No,20.49
0.9974,3.31,10.3,5,R,Yes,12.76
1.0008,3.16,11.5,6,R,No,18.84
0.9997,3.11,9.8,7,R,No,19.76
1,3.12,9.2,6,R,No,15.29
0.9972,3.21,11.3,6,R,No,18.42
0.9982,3.3,9.8,6,R,No,16.02
0.9982,3.3,9.8,6,R,No,16.02
1.0006,3.12,10.7,6,R,No,17.98
0.9979,3.6,9.9,5,R,Yes,11.85
0.9955,3.58,12.3,7,R,No,21.35
0.9986,3.02,12,6,R,No,20.84
0.9979,3.11,10,6,R,No,16.49
0.9994,3.36,9.4,6,R,No,14.19
1.0004,3.28,9.9,6,R,No,15.41
0.9994,3.35,9.4,6,R,No,14.24
0.9974,3.27,9.3,5,R,Yes,11.82
1.0018,3.18,13,5,R,Yes,15.64
0.9912,3.25,11.9,6,R,No,20.57
0.9955,3.55,12.8,6,R,No,19.23
1.0001,3.26,11,5,R,Yes,13.87
0.997,3.24,11.7,7,R,No,22.33
1,3.15,10.4,7,R,No,20.01
1.001,3.17,9.8,6,R,No,15.95
0.9973,3.19,9.4,5,R,Yes,12.73
0.9982,3.37,9.9,6,R,No,15.03
0.9992,3.05,10,5,R,Yes,13.89
0.9988,2.99,10.2,5,R,Yes,15.06
1.0022,3.07,10,7,R,No,17
0.9979,3.26,11.8,6,R,No,18.32
1.0022,3.07,10,7,R,No,17
1,3.16,9,5,R,Yes,11.64
0.9998,3.18,9.4,5,R,Yes,11.98
0.9962,3.2,12,7,R,No,23.85
0.9975,3.57,9.9,5,R,Yes,11.57
0.9967,3.32,8.7,6,R,No,14.12
0.9967,3.32,10.6,6,R,No,17.36
0.9959,3.05,9.2,5,R,Yes,12.88
1.0014,3.01,10.8,6,R,No,17.73
0.9984,3.01,11.8,7,R,No,23.04
1.0003,3.26,11,6,R,No,17.25
0.9962,3.2,12,7,R,No,23.85
0.9988,3.11,13.3,6,R,No,19.46
0.9979,3.31,10.8,6,R,No,17.08
0.9974,3.21,9.4,6,R,No,15.57
1.0014,3.06,10,6,R,No,16.71
0.9974,3.21,9.4,6,R,No,15.57
0.9974,3.21,9.4,6,R,No,15.57
0.998,3.42,9.2,5,R,Yes,11.35
0.9979,3.43,9.7,6,R,No,14.57
0.9981,3.41,9.2,6,R,No,14.19
0.9972,3.31,9.6,6,R,No,15.5
0.9981,3.43,9.2,6,R,No,14.19
0.9982,3.19,10,7,R,No,19.44
0.9924,3.56,12.9,8,R,No,27.59
1.0014,3.06,10,6,R,No,16.71
0.998,3.18,9.5,5,R,Yes,12.94
0.997,3.16,9.1,5,R,Yes,12.4
0.9997,3.03,9.9,5,R,Yes,14.04
1.0004,3.22,13,7,R,No,24.06
0.9994,3.47,9.9,5,R,Yes,6.37
0.9988,3.18,11,6,R,No,18.15
0.9988,3.18,11,6,R,No,18.15
0.9963,3.1,9.4,5,R,Yes,12.86
0.9994,3.47,9.9,5,R,Yes,6.37
0.9949,3.29,10.8,6,R,No,18
1,3.1,10.5,6,R,No,17.72
0.9994,3.15,10.5,6,R,No,17.3
0.9974,3.26,9.1,5,R,Yes,11.26
0.9966,3.36,10.1,6,R,No,16.64
0.9981,3.24,10.8,6,R,No,17.5
0.9996,3.18,10.8,7,R,No,20.77
0.997,3.19,11.3,6,R,No,17.55
0.9981,3.05,9.6,4,R,Yes,8.09
0.9987,3.38,9.5,6,R,No,14.36
0.9987,3.38,9.5,5,R,Yes,11.65
0.9966,3.27,9.3,5,R,Yes,12.32
0.9986,3.27,11.7,7,R,No,18.35
0.9982,3.26,9.5,5,R,Yes,11.87
1.0014,3.32,9.3,5,R,Yes,7.41
0.997,3.26,11.7,6,R,No,19.33
0.9956,3.44,10.5,5,R,Yes,13.36
0.9996,3.24,10.4,6,R,No,17.26
0.9976,3.62,9.9,5,R,Yes,11.87
0.9972,3.28,11.8,7,R,No,22.78
0.9952,3.52,12.3,7,R,No,22.16
0.9955,3.36,10.9,5,R,Yes,14.22
0.9978,3.15,11,7,R,No,22.34
0.9955,3.36,10.9,5,R,Yes,14.22
0.9952,3.52,12.3,7,R,No,22.16
0.9949,3.49,11.4,6,R,No,17.5
0.9988,3.26,10.6,6,R,No,17.61
0.9978,3.24,9.3,5,R,Yes,13.05
0.9997,3.1,10.4,6,R,No,17.73
0.9978,3.15,11,7,R,No,22.34
0.9974,3.25,9.2,5,R,Yes,11.95
0.9958,3,12.8,6,R,No,23.3
1.0004,3.16,9.5,5,R,Yes,12.73
0.9996,3.15,9.9,6,R,No,15.66
1.0004,3.16,9.5,5,R,Yes,12.73
0.9958,3.26,10.2,6,R,No,16.77
0.9986,3.17,11.2,6,R,No,18
0.9996,3.15,9.9,6,R,No,15.66
0.9951,3.08,9.3,5,R,Yes,13.6
0.9987,2.88,9.8,8,R,No,25.02
0.9988,3.06,11.3,6,R,No,20.01
1.0032,2.95,11.2,7,R,No,22.88
0.9963,3.23,11.6,7,R,No,22.44
0.9934,3.57,12.5,7,R,No,22.81
0.9986,3.23,10.1,6,R,No,16.66
0.9996,3.1,10.5,5,R,Yes,14.34
0.9968,3.22,11.2,5,R,Yes,15.29
0.9967,3.2,10.2,6,R,No,17.13
0.9994,3.1,10.8,6,R,No,18.1
0.9994,3.1,10.8,6,R,No,18.1
0.9979,3.06,9.1,6,R,No,16.04
0.9968,3.44,10,6,R,No,15.74
0.9998,3.26,11.2,7,R,No,21.25
0.9952,3.5,11.1,5,R,Yes,14.26
0.9988,3.22,13.4,8,R,No,28.09
0.9986,3.37,10.3,5,R,Yes,12.98
0.9988,3.28,9.6,5,R,Yes,11.93
0.9998,3.26,11.2,7,R,No,21.25
1.0008,3.25,9,3,R,Yes,6.11
0.9976,3.35,11.3,6,R,No,17.94
0.9982,3.26,9.3,5,R,Yes,11.66
0.997,3.18,11.8,5,R,Yes,16
0.9972,3.08,9,5,R,Yes,12.41
0.9987,2.98,9.2,6,R,No,16.42
1.0006,3.48,9.7,5,R,Yes,11.04
0.9982,3.16,11.5,6,R,No,19.84
0.9947,3.32,14,6,R,No,22.7
1,3.17,9.2,6,R,No,15.31
0.9952,3.2,9.8,5,R,Yes,14.11
0.9996,3.05,10.6,5,R,Yes,14.78
0.997,3.2,11.4,6,R,No,18.98
0.9995,3.15,10.4,6,R,No,17.21
0.9971,3.26,10.6,5,R,Yes,14.16
0.9982,3.2,9.4,6,R,No,15.93
0.9988,3.14,10.2,5,R,Yes,14.04
0.998,3.28,9.7,5,R,Yes,12.79
0.9977,3.18,11,6,R,No,18.95
0.9988,3.14,10.2,5,R,Yes,14.04
0.9984,3.19,10.1,6,R,No,16.3
1.0026,3.12,9.2,5,R,Yes,5.76
0.9964,3.15,11.7,8,R,No,26.91
0.9986,3.04,9.4,5,R,Yes,13.26
0.9986,3.04,9.4,5,R,Yes,13.26
0.997,3.06,13.4,6,R,No,22.17
0.9976,3.17,10,5,R,Yes,13.87
0.9976,3.17,10,5,R,Yes,13.87
0.9982,3.17,10,6,R,No,17.13
1.0002,3.32,10.8,7,R,No,19.97
0.9984,3.34,10.2,6,R,No,15.72
0.9984,3.31,10.6,6,R,No,16.41
0.9952,3.34,13.3,7,R,No,25.37
0.995,3.32,13.4,7,R,No,25.65
1.0002,3.48,11.6,6,R,No,17
0.9952,3.44,12.1,6,R,No,12.8
0.9972,3.15,11,8,R,No,25.34
0.9984,3.43,9,6,R,No,13.84
0.9966,3.32,11.1,5,R,Yes,14.22
0.9972,3.15,11,8,R,No,25.34
1.0002,3.48,11.6,6,R,No,17
0.9984,3.43,9,6,R,No,13.84
0.999,3.17,12,7,R,No,19.95
0.999,3.17,12,7,R,No,19.95
0.9976,3.18,10.9,7,R,No,22.09
0.9976,3.21,10.8,7,R,No,21.75
0.9968,3.16,12.5,7,R,No,24.79
0.9976,3.25,10.8,7,R,No,21.46
1,3.17,9.5,6,R,No,15.68
0.9994,3.18,10.2,6,R,No,17.05
0.9986,3.04,11.4,7,R,No,23.45
0.9978,3.02,9.5,5,R,Yes,11.13
0.9994,3.18,10.2,6,R,No,17.05
0.998,3.03,9.7,6,R,No,17.11
0.9973,3.09,11.8,7,R,No,24.33
0.9973,3.09,11.8,7,R,No,24.33
1.001,3.31,9.3,5,R,Yes,7.95
1.001,3.25,11.9,6,R,No,17.67
0.9994,3.16,8.4,3,R,Yes,5.87
0.9972,3.22,11.7,6,R,No,19
0.9966,3.36,11,5,R,Yes,13.87
0.9982,3.42,10,6,R,No,14.84
0.998,3.48,9.1,5,R,Yes,11.07
0.9979,3.38,9.8,5,R,Yes,12.2
0.9978,3.22,9.4,5,R,Yes,12.1
0.9976,3.23,9.5,5,R,Yes,12.31
0.9998,3.24,9.9,5,R,Yes,12.48
0.9966,3.36,11,5,R,Yes,13.87
0.9962,3.39,11.4,6,R,No,17.68
0.9988,3.34,8.7,6,R,No,13.03
0.9974,3.09,9.4,5,R,Yes,12.81
0.999,3.41,10.3,6,R,No,16.02
1.0004,3.16,10.3,5,R,Yes,13.6
1.0004,3.16,10.3,5,R,Yes,13.6
0.9956,3.22,12.8,6,R,No,21.75
1,3.28,10,6,R,No,15.59
0.999,3.41,10.3,6,R,No,16.02
0.9974,3.09,9.4,5,R,Yes,12.81
0.9972,3.37,10.7,6,R,No,16.95
1.0014,3.2,12,7,R,No,20.45
0.9996,3.22,11.2,5,R,Yes,12.24
0.9988,3.26,9.6,5,R,Yes,11.42
0.9988,3.21,11,6,R,No,14.26
0.9966,3.12,9.9,5,R,Yes,13.77
0.9993,3.06,11,6,R,No,19.07
1.0008,2.86,8.4,6,R,No,15.82
0.9982,3.08,9.1,5,R,Yes,12.17
0.9983,3.45,9.5,6,R,No,14.52
0.9987,3.26,10.7,6,R,No,17.19
0.9994,3.12,10.4,6,R,No,17.4
0.9975,3.27,9.4,6,R,No,15.35
0.9958,3.33,9.5,6,R,No,15.02
0.998,3.19,10,6,R,No,16.01
0.998,3.12,10,6,R,No,16.53
0.9934,3.74,11.5,5,R,Yes,13.77
1.00315,2.92,11.1,5,R,Yes,14.81
1.00315,2.92,11.1,5,R,Yes,14.81
1.0002,3.07,11.7,6,R,No,18.27
1.00315,2.92,11.1,5,R,Yes,14.81
1.0002,3.07,11.7,6,R,No,18.27
1.0021,3.3,12.7,6,R,No,18.79
0.9994,3.14,11.4,5,R,Yes,15.35
0.9978,3.23,9.2,5,R,Yes,11.84
0.9982,3.08,9.2,5,R,Yes,12.04
0.9971,3.31,10.1,6,R,No,15.61
1.0021,3.3,12.7,6,R,No,18.79
0.9994,3.14,11.4,5,R,Yes,15.35
0.9991,3.32,9,6,R,No,13.77
0.9991,3.32,9,6,R,No,13.77
0.999,3.31,10.7,6,R,No,16.8
0.9946,3.57,11.7,6,R,No,17.46
1.0003,3.32,11,6,R,No,16.58
0.9946,3.57,11.7,6,R,No,17.46
0.9978,3.14,10.4,5,R,Yes,14.16
0.9991,3.3,9.6,4,R,Yes,9.54
0.9992,3.19,10,6,R,No,15.61
0.9993,3.2,10.2,6,R,No,16.03
0.9978,3.34,10,4,R,Yes,9.68
0.9982,3.3,9.5,5,R,Yes,11.59
0.9982,3.29,9.8,5,R,Yes,11.99
0.9976,3.14,9.8,6,R,No,16.53
1.0002,3.19,9.6,5,R,Yes,12.85
1.0002,3.19,9.6,5,R,Yes,12.85
1,3.19,9.2,5,R,Yes,12.22
0.9976,2.98,9.9,7,R,No,21.36
1.0002,3.3,10.7,7,R,No,19.3
0.998,3.47,9.6,6,R,No,14.2
0.9986,3.12,10.6,7,R,No,21.08
0.9967,3.26,9.3,5,R,Yes,12.36
0.9917,3.72,14,8,R,No,28.11
0.9976,3.05,10.5,7,R,No,21.5
0.9987,3.35,9.7,5,R,Yes,11.88
0.9922,3.12,11.5,6,R,No,20.42
